epoch,train_loss,train_acc,val_loss,val_acc
1,0.5636407586694495,0.7519171779141104,1.480435848236084,0.4375
2,0.46750131340845963,0.7971625766871165,1.6302721500396729,0.25
3,0.42520155588542025,0.8105828220858896,1.155954360961914,0.25
4,0.4123311062897641,0.8207438650306749,0.9194329977035522,0.625
5,0.39078327519762,0.8268788343558282,0.9347207546234131,0.5625
6,0.3823862265955451,0.8322469325153374,2.2925872802734375,0.1875
7,0.36755709066712783,0.8376150306748467,1.0137063264846802,0.5625
8,0.36139427372283,0.8406825153374233,1.3176484107971191,0.3125
9,0.3366270434637011,0.8556365030674846,1.171041488647461,0.625
10,0.3483327555875837,0.8456671779141104,1.1718928813934326,0.5
11,0.3262315449173465,0.8556365030674846,0.7988407611846924,0.5625
12,0.3094839771832425,0.8636886503067485,0.5653812885284424,0.8125
13,0.30822989180044164,0.8638803680981595,1.1752673387527466,0.625
14,0.2956634054154706,0.8726993865030674,1.036388635635376,0.5625
15,0.2804205024534939,0.8765337423312883,2.491591453552246,0.25
16,0.2572425791273819,0.8891871165644172,1.231729507446289,0.4375
17,0.2382423090605648,0.8976226993865031,1.114481806755066,0.6875
18,0.22449220716953278,0.9087423312883436,1.9551119804382324,0.4375
19,0.2174009340672405,0.9100843558282209,1.9514228105545044,0.375
20,0.22888765077283776,0.9058665644171779,1.3732167482376099,0.5
21,0.20225894862523108,0.9139187116564417,1.5345486402511597,0.625
22,0.19627775416418086,0.9185199386503068,1.4368129968643188,0.5
